section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,1,1763649014072530748,1763649014222651748,150,826.055,167.563,1.9946890114216593,27.203537781452187
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,2,1763649014322778748,1763649014402900748,80,611.641,370.053,-12.235248346884834,14.111773852543243
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,3,1763649014522900748,1763649014713149748,190,743.508,336.986,-3.5740849250767566,16.347516634034733
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,4,1763649014788148748,1763649014933273748,145,963.856,385.812,10.937562175098375,13.124074381716548
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,5,1763649014968402748,1763649015293646748,325,910.613,341.267,7.504144440292585,16.029549641136104
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,6,1763649015493906748,1763649015598895748,105,583.086,428.235,-13.988308026603352,10.365826740358083
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,7,1763649015619019748,1763649015774148748,155,595.326,395.257,-13.252326533799517,12.483350799850461
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,8,1763649015884268748,1763649016049392748,165,615.635,358.522,-11.997670772979125,14.852620776334057
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,9,1763649016204517748,1763649016664899748,460,743.973,334.92,-3.544726681084495,16.48032759672862
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,10,1763649016695014748,1763649016965263748,270,708.091,311.213,-5.9569676301618895,17.978164548428204
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,11,1763649017075263748,1763649017345514748,270,761.885,348.014,-2.3492684926249447,15.645896010714576
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,12,1763649017455636748,1763649019372502748,1917,756.695,303.217,-2.7196434271509204,18.51878714427153
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,13,1763649019422502748,1763649019552626748,130,602.63,374.152,-12.818385160569367,13.838486765037047
