frame_idx,timestamp_ns,gaze_x_px,gaze_y_px,object_id,object_class
0,1763649011136000000,927,174,-1,none
1,1763649011186000000,927,174,-1,none
2,1763649011236000000,927,174,-1,none
3,1763649011286000000,927,174,-1,none
4,1763649011336000000,927,174,-1,none
5,1763649011386000000,927,174,-1,none
6,1763649011436000000,927,174,-1,none
7,1763649011486000000,927,174,-1,none
8,1763649011536000000,927,174,-1,none
9,1763649011586000000,927,174,-1,none
10,1763649011636000000,927,174,-1,none
11,1763649011686000000,927,174,-1,none
12,1763649011736000000,927,174,-1,none
13,1763649011786000000,927,174,-1,none
14,1763649011836000000,927,174,-1,none
15,1763649011886000000,927,174,-1,none
16,1763649011936000000,927,174,-1,none
17,1763649011986000000,927,174,-1,none
18,1763649012036000000,927,174,-1,none
19,1763649012086000000,927,174,-1,none
20,1763649012136000000,927,174,-1,none
21,1763649012186000000,927,174,-1,none
22,1763649012236000000,927,174,-1,none
23,1763649012286000000,927,174,-1,none
24,1763649012336000000,927,174,-1,none
25,1763649012386000000,927,174,-1,none
26,1763649012436000000,927,174,-1,none
27,1763649012486000000,927,174,-1,none
28,1763649012536000000,927,174,-1,none
29,1763649012586000000,927,174,-1,none
30,1763649012636000000,927,174,-1,none
31,1763649012686000000,927,174,-1,none
32,1763649012736000000,927,174,-1,none
33,1763649012786000000,927,174,-1,none
34,1763649012836000000,927,174,-1,none
35,1763649012886000000,927,174,-1,none
36,1763649012936000000,927,174,-1,none
37,1763649012986000000,927,174,-1,none
38,1763649013036000000,927,174,-1,none
39,1763649013086000000,927,174,-1,none
40,1763649013136000000,927,174,-1,none
41,1763649013185999999,927,174,-1,none
42,1763649013236000000,927,174,-1,none
43,1763649013286000000,927,174,-1,none
44,1763649013336000000,927,174,-1,none
45,1763649013386000000,927,174,-1,none
46,1763649013436000000,927,174,-1,none
47,1763649013486000000,927,174,-1,none
48,1763649013536000000,927,174,-1,none
49,1763649013586000000,927,174,-1,none
50,1763649013636000000,927,174,-1,none
51,1763649013686000000,927,174,-1,none
52,1763649013736000000,927,174,-1,none
53,1763649013786000000,927,174,-1,none
54,1763649013836000000,927,174,-1,none
55,1763649013886000000,927,174,-1,none
56,1763649013936000000,927,174,-1,none
57,1763649013986000000,878,3,-1,none
58,1763649014036000000,890,19,-1,none
59,1763649014086000000,849,90,-1,none
60,1763649014136000000,823,169,-1,none
61,1763649014186000000,810,215,-1,none
62,1763649014236000000,836,240,-1,none
63,1763649014282944444,844,263,-1,none
64,1763649014295933333,763,283,-1,none
65,1763649014329277777,602,331,-1,none
66,1763649014362622222,609,371,31,car
67,1763649014395966666,617,400,82,car
68,1763649014429311111,439,509,21,person
69,1763649014462644444,505,538,89,car
70,1763649014495988888,776,318,-1,none
71,1763649014529333333,749,344,-1,none
72,1763649014562677777,753,350,-1,none
73,1763649014596022222,749,328,-1,none
74,1763649014629355555,741,329,-1,none
75,1763649014662700000,739,340,-1,none
76,1763649014696044444,737,336,-1,none
77,1763649014729388888,772,334,-1,none
78,1763649014762733333,1017,403,-1,none
79,1763649014796077777,978,395,-1,none
80,1763649014829411111,973,385,17,car
81,1763649014862755555,961,374,17,car
82,1763649014896100000,950,386,17,car
83,1763649014929444444,950,379,17,car
84,1763649014962788888,904,328,17,car
85,1763649014996122222,911,323,17,car
86,1763649015029466666,910,338,17,car
87,1763649015062811111,919,332,17,car
88,1763649015096155555,915,332,17,car
89,1763649015129500000,912,341,17,car
90,1763649015162844444,908,341,17,car
91,1763649015196177777,916,350,17,car
92,1763649015229522222,907,350,17,car
93,1763649015262866666,903,356,17,car
94,1763649015296211111,902,355,-1,none
95,1763649015329555555,817,396,-1,none
96,1763649015362899999,636,389,-1,none
97,1763649015396233333,568,466,82,car
98,1763649015429577777,556,465,82,car
99,1763649015462922222,575,463,82,car
100,1763649015496266666,576,414,82,car
101,1763649015529611111,579,436,82,car
102,1763649015562944444,585,412,82,car
